"Time","Frequency (Hz)","Level (dBµV/m)","Level_1 (dBµV/m)","Level_2 (dBµV/m)","Level_3 (dBµV/m)","Value Count","File Info"
"10/12/2021  10:50:00.000","    88175000","  10.4","   0.2","  10.2","  11.1","76"," Level, Mean"
"10/12/2021  10:50:00.000","    88200000","  10.9","   0.2","  10.8","  11.7","76"," Level, StdDev"
"10/12/2021  10:50:00.000","    88225000","  10.2","   0.2","  10.0","  11.0","76"," Level, Min"
"10/12/2021  10:50:00.000","    88250000","  10.3","   0.2","  10.0","  10.9","76"," Level, Max"
"10/12/2021  10:50:00.000","    88275000","  11.4","   0.2","  11.2","  12.0","76","Frequency: 87.500000 - 108.000000 MHz"
"10/12/2021  10:50:00.000","    88300000","  10.8","   0.2","  10.5","  11.5","76","Compress Time Interval: 10 min"
"10/12/2021  10:50:00.000","    88325000","  10.9","   0.2","  10.6","  11.6","76"," "
"10/12/2021  10:50:00.000","    88350000","  11.2","   0.2","  10.9","  12.0","76","Source:"
"10/12/2021  10:50:00.000","    88375000","  10.7","   0.2","  10.4","  11.6","76","Measurement Result: DDF007_121021_R2"
"10/12/2021  10:50:00.000","    88400000","  12.1","   0.1","  11.9","  12.8","76"," "
"10/12/2021  10:50:00.000","    88425000","  11.9","   0.2","  11.7","  12.7","76","File Info: DDF007_121021_R2"
"10/12/2021  10:50:00.000","    88450000","  11.8","   0.2","  11.5","  12.7","76","Meas. Unit: ACEH"
"10/12/2021  10:50:00.000","    88475000","  11.9","   0.4","  11.2","  12.9","76","Longitude: 097°20'22,7""E"
"10/12/2021  10:40:00.000","    88500000","  17.4","   4.2","  11.0","  23.7","40","Latitude: 03°59'47,3""N"
"10/12/2021  11:00:00.000","    88525000","  29.3","   2.8","  20.3","  33.8","76","Device 1:"
"10/12/2021  11:00:00.000","    88550000","  41.6","   1.4","  37.3","  44.2","76","Name: HE300-20"
"10/12/2021  11:40:00.000","    88575000","  49.8","   0.7","  48.0","  51.1","76","Device 2:"
"10/12/2021  12:10:00.000","    88600000","  53.6","   0.8","  51.0","  55.4","76","Name: DDF007"
"10/12/2021  11:40:00.000","    88625000","  49.6","   0.8","  47.3","  51.1","76","IF Bandwidth: 50 kHz"
"10/12/2021  11:00:00.000","    88650000","  40.4","   1.4","  36.8","  43.0","76","DF Integration Time: 100 ms"
"10/12/2021  10:50:00.000","    88675000","  27.2","   3.3","  15.5","  33.2","76","RF Attenuation: Off"
"10/12/2021  10:50:00.000","    88700000","  16.3","   1.8","  12.9","  21.1","76","Demodulation: FM"
"10/12/2021  10:50:00.000","    88725000","  13.2","   0.4","  12.1","  14.0","76","Meas.Time: 500,000 ms"
"10/12/2021  10:40:00.000","    88750000","  12.6","   0.3","  12.1","  13.2","40","Detector: Average"
"10/12/2021  10:40:00.000","    88775000","  11.9","   0.3","  11.2","  12.7","40",
"10/12/2021  10:40:00.000","    88800000","  12.4","   0.4","  11.6","  13.8","40",
"10/12/2021  10:40:00.000","    88825000","  11.8","   0.3","  11.2","  13.2","40",
"10/12/2021  10:50:00.000","    88850000","  14.0","   0.1","  13.9","  14.5","76",
"10/12/2021  10:50:00.000","    88875000","  14.5","   0.1","  14.4","  14.9","76",
"10/12/2021  10:50:00.000","    88900000","  11.2","   0.2","  11.0","  12.1","76",
"10/12/2021  10:50:00.000","    88925000","  11.7","   0.2","  11.5","  12.5","76",
"10/12/2021  10:50:00.000","    88950000","  11.0","   0.2","  10.8","  12.1","76",
"10/12/2021  10:50:00.000","    88975000","  11.6","   0.2","  11.4","  13.3","76",
"10/12/2021  10:50:00.000","    89000000","  11.8","   0.3","  11.6","  13.7","76",
"10/12/2021  10:50:00.000","    89025000","  10.2","   0.3","   9.9","  12.5","76",
"10/12/2021  10:50:00.000","    89050000","  10.6","   0.2","  10.3","  11.7","76",
"10/12/2021  10:50:00.000","    89075000","  10.5","   0.2","  10.3","  11.5","76",
"10/12/2021  10:50:00.000","    89100000","  10.2","   0.3","   9.9","  11.2","76",
